0.5 0.0993932
0.6 0.149195
0.7 0.185426
0.8 0.213177
0.9 0.235273
1 0.253411
1.1 0.268672
1.2 0.281773
1.3 0.293213
1.4 0.303349
1.5 0.312441
1.6 0.320685
1.7 0.328231
1.8 0.335194
1.9 0.341667
2 0.347724
2.1 0.353424
2.2 0.358815
2.3 0.363938
2.4 0.368826
2.5 0.373508
2.6 0.378007
2.7 0.382344
2.8 0.386536
2.9 0.390597
3 0.394542
3.1 0.398381
3.2 0.402125
3.3 0.405781
3.4 0.409358
3.5 0.412863
3.6 0.416301
3.7 0.419677
3.8 0.422998
3.9 0.426267
4 0.429487
4.1 0.432663
4.2 0.435798
4.3 0.438894
4.4 0.441954
4.5 0.444981
4.6 0.447976
4.7 0.450942
4.8 0.453881
4.9 0.456794
5 0.459682
5.1 0.462548
5.2 0.465393
5.3 0.468217
5.4 0.471022
5.5 0.473809
5.6 0.476578
5.7 0.479332
5.8 0.48207
5.9 0.484793
6 0.487503
6.1 0.490199
6.2 0.492883
6.3 0.495555
6.4 0.498216
6.5 0.500865
6.6 0.503505
6.7 0.506134
6.8 0.508754
6.9 0.511365
7 0.513967
7.1 0.51656
7.2 0.519146
7.3 0.521725
7.4 0.524295
7.5 0.526859
7.6 0.529416
7.7 0.531967
7.79999 0.534511
7.89999 0.53705
7.99999 0.539582
8.09999 0.542109
8.2 0.544631
8.3 0.547147
8.4 0.549659
8.5 0.552166
8.6 0.554668
8.7 0.557165
8.8 0.559658
8.9 0.562147
9 0.564632
9.1 0.567114
9.2 0.569591
9.3 0.572065
9.4 0.574535
9.5 0.577001
9.6 0.579465
9.7 0.581925
9.8 0.584382
9.9 0.586836
10 0.589287
10.1 0.591735
10.2 0.594181
10.3 0.596623
10.4 0.599064
10.5 0.601501
10.6 0.603936
10.7 0.606369
10.8 0.608799
10.9 0.611228
