0 1
1 0.0939996
2 0.105248
3 -0.0235354
4 0.0307128
5 0.0101979
6 0.0422997
7 0.0560747
8 0.044313
9 -0.0177284
10 -0.0178468
11 0.00643362
12 -0.0434652
13 0.00204
14 -0.0389872
15 0.00554404
16 -0.043406
17 0.0250909
18 -0.027952
19 0.00466805
20 -0.0137366
21 0.0274122
22 -0.00518782
23 -0.00430613
24 -0.0705442
25 0.0257699
26 0.00911015
27 0.0287465
28 0.0504723
29 0.00485493
30 0.00965902
31 -0.0390018
32 -0.0347088
33 -0.0437779
34 -0.00824783
35 0.0139716
36 -0.0144997
37 -0.0632325
38 0.00302662
39 -0.0258664
40 0.0277073
41 -0.0178508
42 0.0713931
43 -0.00284814
44 0.028649
45 -0.00121803
46 0.0360298
47 -0.0114268
48 0.0156799
49 0.0219807
50 0.0286318
