0 0.5
1 0.594
2 0.699247
3 0.675712
4 0.706425
5 0.716623
6 0.758922
7 0.814997
8 0.85931
9 0.841581
10 0.823735
11 0.830168
12 0.786703
13 0.788743
14 0.749756
15 0.7553
16 0.711894
17 0.736985
18 0.709033
19 0.713701
20 0.699964
21 0.727377
22 0.722189
23 0.717883
24 0.647338
25 0.673108
26 0.682219
27 0.710965
28 0.761437
29 0.766292
30 0.775951
31 0.73695
32 0.702241
33 0.658463
34 0.650215
35 0.664187
36 0.649687
37 0.586454
38 0.589481
39 0.563615
40 0.591322
41 0.573471
42 0.644864
43 0.642016
44 0.670665
45 0.669447
46 0.705477
47 0.69405
48 0.70973
49 0.731711
50 0.760343
